' Title Id;Description;Product code;Company Code;Notes;Versions;Region;Available on cdn;ico file Id;Native Resolution; Native Fps; Cap effect (NOEF, SYNCSCR, SYNCSCR)
'00050000101F2D00';Run Run and Die;wup-n-brre;-;-;-;usa;yes;'00050000101F2D00';720;60;SYNCSCR
'00050000101F3E00';Star Sky2;wup-n-by2e;-;-;-;usa;yes;'00050000101F2700';720;60;SYNCSCR
'00050000101F3F00';Super Meat Boy;wup-n-aene;-;-;-;usa;yes;'00050000101F3F00';720;60;SYNCSCR
'00050000101F4000';Super Meat Boy;wup-p-aenp;-;-;-;eur;yes;'00050000101F3F00';720;60;SYNCSCR
'00050000101F4200';Queen s Garden;wup-p-aqnp;-;-;-;eur;yes;'00050000101F4200';720;60;SYNCSCR
'00050000101F4300';Sweetest Thing;wup-p-aerp;-;-;-;eur;yes;'00050000101F4300';720;60;SYNCSCR
'00050000101F4700';Queen s Garden;wup-n-aqne;-;-;-;usa;yes;'00050000101F4200';720;60;SYNCSCR
'00050000101F4800';Sweetest Thing;wup-n-aere;-;-;-;usa;yes;'00050000101F4300';720;60;SYNCSCR
'00050000101F4900';Tallowmere;wup-n-aeue;-;-;-;usa;yes;'00050000101F4900';720;60;SYNCSCR
'00050000101F4A00';Buddy And Me-Dream Edition;wup-p-wymp;-;-;-;eur;yes;'00050000101ECF00';720;60;SYNCSCR
'00050000101F4C00';Reptilian Rebellion;wup-n-brle;-;-;-;usa;yes;'00050000101F4C00';720;60;SYNCSCR
'00050000101F4D00';Skylanders Imaginators;wup-p-bl6e;-;-;-;usa;notmd;'00050000101F4D00';720;60;SYNCSCR
'00050000101F4F00';Dracula s Legacy;wup-p-agjp;-;-;-;eur;yes;'00050000101F4F00';720;60;SYNCSCR
'00050000101F5000';Dracula s Legacy;wup-n-agje;-;-;-;usa;yes;'00050000101F4F00';720;60;SYNCSCR
'00050000101F5400';Reptilian Rebellion;wup-p-brlp;-;-;-;eur;yes;'00050000101F4C00';720;60;SYNCSCR
'00050000101F5500';Letter Quest-Remastered;wup-n-ag8e;-;-;-;usa;yes;'00050000101F6400';720;60;SYNCSCR
'00050000101F5700';Jotun-Valhalla Edition;wup-n-ajve;-;-;-;usa;yes;'00050000101F6F00';720;60;SYNCSCR
'00050000101F5900';Pentapuzzle;wup-p-ap8p;-;-;-;eur;yes;'00050000101BA700';720;60;SYNCSCR
'00050000101F5A00';Defend Your Crypt;wup-p-alfp;-;-;-;eur;yes;'00050000101F5A00';720;60;SYNCSCR
'00050000101F5D00';PixelMaker;wup-n-ahye;-;-;-;usa;yes;'00050000101F5D00';720;60;SYNCSCR
'00050000101F5E00';Defend Your Crypt;wup-n-alfe;-;-;-;usa;yes;'00050000101F5A00';720;60;SYNCSCR
'00050000101F5F00';Hot Rod Racer;wup-n-ahze;-;-;-;usa;yes;'00050000101F5F00';720;60;SYNCSCR
'00050000101F6000';Surfin Sam-Attack Of The Aqualites;wup-n-ah3e;-;-;-;usa;yes;'00050000101F6000';720;60;SYNCSCR
'00050000101F6200';Adventure Party-Cats And Caverns;wup-n-ah4e;-;-;-;usa;yes;'00050000101F6200';720;60;SYNCSCR
'00050000101F6300';Run Run and Die;wup-p-brrp;-;-;-;eur;yes;'00050000101F2D00';720;60;SYNCSCR
'00050000101F6400';Letter Quest Remastered;wup-p-ag8p;-;-;-;eur;yes;'00050000101F6400';720;60;SYNCSCR
'00050000101F6600';Gravity+;wup-p-ah6e;-;-;-;usa;yes;'00050000101F6600';720;60;SYNCSCR
'00050000101F6900';Ping1-5+;wup-p-wk2p;-;-;-;eur;yes;'000500001017AF00';720;60;SYNCSCR
'00050000101F6A00';Jewel Quest;wup-p-ajqp;-;-;-;eur;yes;'00050000101E3200';720;60;SYNCSCR
'00050000101F6B00';Pixel Slime U;wup-p-aupp;-;-;-;eur;yes;'00050000101D2900';720;60;SYNCSCR
'00050000101F6E00';Tumblestone;wup-p-at7p;-;-;-;eur;yes;'00050000101DAD00';720;60;SYNCSCR
'00050000101F6F00';Jotun Valhalla Edition;wup-p-ajvp;-;-;-;eur;yes;'00050000101F6F00';720;60;SYNCSCR
'00050000101F7400';Hot Rod Racer;wup-p-ahzp;-;-;-;eur;yes;'00050000101F5F00';720;60;SYNCSCR
'00050000101F7500';Midnight 2;wup-n-aeye;-;-;-;usa;yes;'00050000101F7500';720;60;SYNCSCR
'00050000101F7600';Dual Core;wup-p-bd8p;-;-;-;eur;yes;'00050000101E3800';720;60;SYNCSCR
'00050000101F7700';PixelMaker;wup-p-ahyp;-;-;-;eur;yes;'00050000101F5D00';720;60;SYNCSCR
'00050000101F7800';Ziggurat;wup-p-azgp;-;-;-;eur;yes;'00050000101F7800';720;60;SYNCSCR
'00050000101F7900';Axiomverge;wup-n-avee;-;-;-;usa;yes;'00050000101F7900';720;60;SYNCSCR
'00050000101F7C00';Tap Tap Arcade2;wup-n-btne;-;-;-;usa;yes;'00050000101F7C00';720;60;SYNCSCR
'00050000101F7D00';Psibo;wup-p-bp8p;-;-;-;eur;yes;'00050000101E1E00';720;60;SYNCSCR
'00050000101F8100';Gravity+;wup-p-ah6p;-;-;-;eur;yes;'00050000101F6600';720;60;SYNCSCR
'00050000101F8400';Jackpot 777;wup-p-bmwp;-;-;-;eur;yes;'00050000101F8400';720;60;SYNCSCR
'00050000101F8500';Ectoplaza;wup-p-aeze;-;-;-;usa;yes;'00050000101F8500';720;60;SYNCSCR
'00050000101F8800';Toby-The Secret Mine;wup-p-btqe;-;-;-;usa;yes;'00050000101F8800';720;60;SYNCSCR
'00050000101F8800';Toby-The Secret Mine;wup-p-btqe;-;-;-;usa;yes;'00050000101F8800';720;60;SYNCSCR
'00050000101F8900';Twin Robots;wup-p-ajhp;-;-;-;eur;yes;'00050000101F8900';720;60;SYNCSCR
'00050000101F8A00';Dungeon Hearts DX;wup-n-bxde;-;-;-;usa;yes;'00050000101F8A00';720;60;SYNCSCR
'00050000101F8B00';Pirate Pop Plus;wup-n-ajme;-;-;-;usa;yes;'00050000101F8B00';720;60;SYNCSCR
'00050000101F8C00';Twin Robots;wup-n-ajhe;-;-;-;usa;yes;'00050000101F8900';720;60;SYNCSCR
'00050000101F8D00';Tap Tap Arcade2;wup-p-btnp;-;-;-;eur;yes;'00050000101F7C00';720;60;SYNCSCR
'00050000101F8F00';6180 The Moon;wup-n-wm6j;-;-;-;jpn;yes;'0005000010175A00';720;60;SYNCSCR
'00050000101F9000';Citadale;wup-p-bece;00va;-;v33;usa;yes;'00050000101F9A00';720;60;SYNCSCR
'00050000101F9200';Jackpot 777;wup-n-bmwe;-;-;-;usa;yes;'00050000101F8400';720;60;SYNCSCR
'00050000101F9400';Super Destronaut2 -goduckyourself;wup-n-ajne;-;-;-;usa;yes;'00050000101F9400';720;60;SYNCSCR
'00050000101F9500';Mega Maze;wup-p-bm5e;-;-;-;usa;yes;'00050000101F9500';720;60;SYNCSCR
'00050000101F9700';Darksiders Warmastered Edition;wup-p-bedp;-;-;v0;eur;-;'00050000101F9700';720;30;SYNCSCR
'00050000101F9800';B3 Game Expo For Bees;wup-p-ab3p;-;-;-;eur;yes;'00050000101E1F00';720;60;SYNCSCR
'00050000101F9900';Aenigma Os;wup-p-basp;-;-;-;eur;yes;'00050000101D1A00';720;60;SYNCSCR
'00050000101F9A00';Citadale;wup-p-becp;-;-;-;eur;yes;'00050000101F9A00';720;60;SYNCSCR
'00050000101F9C00';Ziggurat;wup-n-azge;-;-;-;usa;yes;'00050000101F7800';720;60;SYNCSCR
'00050000101F9D00';The Girl And The Robot;-;-;-;-;-;-;'00050000101F9D00';720;30;SYNCSCR
'00050000101FA000';Ohayou Beginner s jpnanese;wup-u-ajue;011f;-;16;usa;yes;'00050000101FA000';720;60;SYNCSCR
'00050000101FA100';Forma 8;wup-p-bf8e;-;-;-;usa;yes;'00050000101CBC00';720;60;SYNCSCR
'00050000101FA600';Darksiders;wup-p-bedp;-;-;v0;eur;-;'00050000101F9700';720;30;SYNCSCR
'00050000101FA900';Blasting Agent-Ultimate Edition;wup-p-abzp;-;-;-;eur;yes;'00050000101FA900';720;60;SYNCSCR
'00050000101FAA00';Blasting Agent-Ultimate Edition;wup-n-abze;-;-;-;usa;yes;'00050000101FA900';720;60;SYNCSCR
'00050000101FAB00';Collateral Thinking;wup-n-ajxe;-;-;-;usa;yes;'00050000101FAB00';720;60;SYNCSCR
'00050000101FAC00';Invanoid;wup-n-ajye;-;-;-;usa;yes;'00050000101FAC00';720;60;SYNCSCR
'00050000101FAD00';Shooty Space;wup-n-ajze;-;-;-;usa;yes;'00050000101FAD00';720;60;SYNCSCR
'00050000101FAF00';Midnight 2;wup-p-aeyp;-;-;-;eur;yes;'00050000101F7500';720;60;SYNCSCR
'00050000101FB000';Super Destronaut2 -goduckyourself;wup-p-ajnp;-;-;-;eur;yes;'00050000101F9400';720;60;SYNCSCR
